From	Entry	Entry Name	Protein names	Gene Names
FAM8A1	Q9UBU6	FA8A1_HUMAN	Protein FAM8A1 (Autosomal highly conserved protein)	FAM8A1 AHCP
FAM91A1	Q658Y4	F91A1_HUMAN	Protein FAM91A1	FAM91A1
FAM96A	Q9H5X1	CIA2A_HUMAN	Cytosolic iron-sulfur assembly component 2A (MIP18 family protein FAM96A)	CIAO2A CIA2A FAM96A
FAM96B	Q9Y3D0	CIA2B_HUMAN	Cytosolic iron-sulfur assembly component 2B (MSS19-interacting protein of 18 kDa) (Mitotic spindle-associated MMXD complex subunit MIP18) (Protein FAM96B)	CIAO2B CIAB FAM96B MIP18 CGI-128 HSPC118
FAM98A	Q8NCA5	FA98A_HUMAN	Protein FAM98A	FAM98A
FAM98B	Q52LJ0	FA98B_HUMAN	Protein FAM98B	FAM98B
FANCA	O15360	FANCA_HUMAN	Fanconi anemia group A protein (Protein FACA)	FANCA FAA FACA FANCH
FANCD2	Q9BXW9	FACD2_HUMAN	Fanconi anemia group D2 protein (Protein FACD2)	FANCD2 FACD
FANCG	O15287	FANCG_HUMAN	Fanconi anemia group G protein (Protein FACG) (DNA repair protein XRCC9)	FANCG XRCC9
FANCI	Q9NVI1	FANCI_HUMAN	Fanconi anemia group I protein (Protein FACI)	FANCI KIAA1794
FAR1	Q8WVX9	FACR1_HUMAN	Fatty acyl-CoA reductase 1 (EC 1.2.1.84) (Male sterility domain-containing protein 2)	FAR1 MLSTD2 UNQ2423/PRO4981
FARS2	O95363	SYFM_HUMAN	Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)	FARS2 FARS1 HSPC320
FARSA	Q9Y285	SYFA_HUMAN	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (CML33) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	FARSA FARS FARSL FARSLA
FARSB	Q9NSD9	SYFB_HUMAN	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	FARSB FARSLB FRSB HSPC173
FASN	P49327	FAS_HUMAN	Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	FASN FAS
FASTKD1	Q53R41	FAKD1_HUMAN	FAST kinase domain-containing protein 1, mitochondrial	FASTKD1 KIAA1800
FASTKD2	Q9NYY8	FAKD2_HUMAN	FAST kinase domain-containing protein 2, mitochondrial	FASTKD2 KIAA0971
FASTKD5	Q7L8L6	FAKD5_HUMAN	FAST kinase domain-containing protein 5, mitochondrial	FASTKD5 KIAA1792
FAT1	Q14517	FAT1_HUMAN	Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]	FAT1 CDHF7 FAT
FAT3	Q8TDW7	FAT3_HUMAN	Protocadherin Fat 3 (hFat3) (Cadherin family member 15) (FAT tumor suppressor homolog 3)	FAT3 CDHF15 KIAA1989
FAU	P62861	RS30_HUMAN	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin like and ribosomal protein S30 fusion) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]	FAU
FAXDC2	Q96IV6	FXDC2_HUMAN	Fatty acid hydroxylase domain-containing protein 2	FAXDC2 C5orf4
FBF1	Q8TES7	FBF1_HUMAN	Fas-binding factor 1 (FBF-1) (Protein albatross)	FBF1 ALB KIAA1863
FBL	P22087	FBRL_HUMAN	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase) (U6 snRNA 2'-O-methyltransferase fibrillarin)	FBL FIB1 FLRN
FBLIM1	Q8WUP2	FBLI1_HUMAN	Filamin-binding LIM protein 1 (FBLP-1) (Migfilin) (Mitogen-inducible 2-interacting protein) (MIG2-interacting protein)	FBLIM1 FBLP1
FBLL1	A6NHQ2	FBLL1_HUMAN	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 (EC 2.1.1.-) (Protein-glutamine methyltransferase)	FBLL1
FBRS	Q9HAH7	FBRS_HUMAN	Probable fibrosin-1	FBRS FBS FBS1
FBXL12	Q9NXK8	FXL12_HUMAN	F-box/LRR-repeat protein 12 (F-box and leucine-rich repeat protein 12) (F-box protein FBL12)	FBXL12 FBL12
FBXL15	Q9H469	FXL15_HUMAN	F-box/LRR-repeat protein 15 (F-box only protein 37)	FBXL15 FBXO37
FBXL18	Q96ME1	FXL18_HUMAN	F-box/LRR-repeat protein 18 (F-box and leucine-rich repeat protein 18)	FBXL18 FBL18
FBXL19	Q6PCT2	FXL19_HUMAN	F-box/LRR-repeat protein 19 (F-box and leucine-rich repeat protein 19)	FBXL19 FBL19
FBXL20	Q96IG2	FXL20_HUMAN	F-box/LRR-repeat protein 20 (F-box and leucine-rich repeat protein 20) (F-box/LRR-repeat protein 2-like)	FBXL20 FBL2
FBXL6	Q8N531	FBXL6_HUMAN	F-box/LRR-repeat protein 6 (F-box and leucine-rich repeat protein 6) (F-box protein FBL6) (FBL6A)	FBXL6 FBL6
FBXL8	Q96CD0	FBXL8_HUMAN	F-box/LRR-repeat protein 8 (F-box and leucine-rich repeat protein 8) (F-box protein FBL8)	FBXL8 FBL8
FBXO18	Q8NFZ0	FBH1_HUMAN	F-box DNA helicase 1 (hFBH1) (EC 5.6.2.4) (DNA 3'-5' helicase 1) (F-box only protein 18)	FBH1 FBX18 FBXO18
FBXO21	O94952	FBX21_HUMAN	F-box only protein 21	FBXO21 FBX21 KIAA0875
FBXO22	Q8NEZ5	FBX22_HUMAN	F-box only protein 22 (F-box protein FBX22p44)	FBXO22 FBX22
FBXO28	Q9NVF7	FBX28_HUMAN	F-box only protein 28	FBXO28 CENP-30 KIAA0483
FBXO3	Q9UK99	FBX3_HUMAN	F-box only protein 3	FBXO3 FBX3
FBXO30	Q8TB52	FBX30_HUMAN	F-box only protein 30	FBXO30 FBX30
FBXO38	Q6PIJ6	FBX38_HUMAN	F-box only protein 38	FBXO38 SP329
FBXO4	Q9UKT5	FBX4_HUMAN	F-box only protein 4	FBXO4 FBX4
FBXO42	Q6P3S6	FBX42_HUMAN	F-box only protein 42 (Just one F-box and Kelch domain-containing protein)	FBXO42 FBX42 JFK KIAA1332
FBXO45	P0C2W1	FBSP1_HUMAN	F-box/SPRY domain-containing protein 1 (F-box only protein 45) (hFbxo45)	FBXO45 FBX45
FBXO5	Q9UKT4	FBX5_HUMAN	F-box only protein 5 (Early mitotic inhibitor 1)	FBXO5 EMI1 FBX5
FBXO6	Q9NRD1	FBX6_HUMAN	F-box only protein 6 (F-box protein that recognizes sugar chains 2) (F-box/G-domain protein 2)	FBXO6 FBG2 FBS2 FBX6
FBXO7	Q9Y3I1	FBX7_HUMAN	F-box only protein 7	FBXO7 FBX7
FBXO9	Q9UK97	FBX9_HUMAN	F-box only protein 9 (Cross-immune reaction antigen 1) (Renal carcinoma antigen NY-REN-57)	FBXO9 FBX9 VCIA1
FBXW11	Q9UKB1	FBW1B_HUMAN	F-box/WD repeat-containing protein 11 (F-box and WD repeats protein beta-TrCP2) (F-box/WD repeat-containing protein 1B) (Homologous to Slimb protein) (HOS)	FBXW11 BTRCP2 FBW1B FBXW1B KIAA0696
FBXW8	Q8N3Y1	FBXW8_HUMAN	F-box/WD repeat-containing protein 8 (F-box and WD-40 domain-containing protein 8) (F-box only protein 29)	FBXW8 FBW6 FBW8 FBX29 FBXO29 FBXW6
FCF1	Q9Y324	FCF1_HUMAN	rRNA-processing protein FCF1 homolog	FCF1 C14orf111 CGI-35
FCGR2A	P12318	FCG2A_HUMAN	Low affinity immunoglobulin gamma Fc region receptor II-a (IgG Fc receptor II-a) (CDw32) (Fc-gamma RII-a) (Fc-gamma-RIIa) (FcRII-a) (CD antigen CD32)	FCGR2A CD32 FCG2 FCGR2A1 IGFR2
FCHO1	O14526	FCHO1_HUMAN	F-BAR domain only protein 1	FCHO1 KIAA0290
FCHO2	Q0JRZ9	FCHO2_HUMAN	F-BAR domain only protein 2	FCHO2
FCHSD1	Q86WN1	FCSD1_HUMAN	F-BAR and double SH3 domains protein 1 (Protein nervous wreck 2) (NWK2)	FCHSD1 UNQ737/PRO1431
FCRL3	Q96P31	FCRL3_HUMAN	Fc receptor-like protein 3 (FcR-like protein 3) (FcRL3) (Fc receptor homolog 3) (FcRH3) (IFGP family protein 3) (hIFGP3) (Immune receptor translocation-associated protein 3) (MAIA) (SH2 domain-containing phosphatase anchor protein 2) (CD antigen CD307c)	FCRL3 FCRH3 IFGP3 IRTA3 SPAP2
FDFT1	P37268	FDFT_HUMAN	Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase 1)	FDFT1
FDPS	P14324	FPPS_HUMAN	Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)	FDPS FPS KIAA1293
FDX1	P10109	ADX_HUMAN	Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1) (Hepatoredoxin)	FDX1 ADX
FDX1L	Q6P4F2	FDX2_HUMAN	Ferredoxin-2, mitochondrial (Adrenodoxin-like protein) (Ferredoxin-1-like protein)	FDX2 FDX1L
FDXR	P22570	ADRO_HUMAN	NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)	FDXR ADXR
FECH	P22830	HEMH_HUMAN	Ferrochelatase, mitochondrial (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	FECH
FEM1B	Q9UK73	FEM1B_HUMAN	Protein fem-1 homolog B (FEM1b) (FEM1-beta) (Fem-1-like death receptor-binding protein alpha) (Fem-1-like in apoptotic pathway protein alpha) (F1A-alpha)	FEM1B F1AA KIAA0396
FEN1	P39748	FEN1_HUMAN	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (DNase IV) (Flap structure-specific endonuclease 1) (Maturation factor 1) (MF1) (hFEN-1)	FEN1 RAD2
FER	P16591	FER_HUMAN	Tyrosine-protein kinase Fer (EC 2.7.10.2) (Feline encephalitis virus-related kinase FER) (Fujinami poultry sarcoma/Feline sarcoma-related protein Fer) (Proto-oncogene c-Fer) (Tyrosine kinase 3) (p94-Fer)	FER TYK3
FERMT3	Q86UX7	URP2_HUMAN	Fermitin family homolog 3 (Kindlin-3) (MIG2-like protein) (Unc-112-related protein 2)	FERMT3 KIND3 MIG2B URP2
FES	P07332	FES_HUMAN	Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)	FES FPS
FGD3	Q5JSP0	FGD3_HUMAN	FYVE, RhoGEF and PH domain-containing protein 3 (Zinc finger FYVE domain-containing protein 5)	FGD3 ZFYVE5
FGF2	P09038	FGF2_HUMAN	Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2)	FGF2 FGFB
FGFR1OP	O95684	CEP43_HUMAN	Centrosomal protein 43 (FGFR1 oncogene partner)	CEP43 FGFR1OP FOP
FGFR1OP2	Q9NVK5	FGOP2_HUMAN	FGFR1 oncogene partner 2	FGFR1OP2 HSPC123
FGFR2	P21802	FGFR2_HUMAN	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)	FGFR2 BEK KGFR KSAM
FH	P07954	FUMH_HUMAN	Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)	FH
FHL3	Q13643	FHL3_HUMAN	Four and a half LIM domains protein 3 (FHL-3) (Skeletal muscle LIM-protein 2) (SLIM-2)	FHL3 SLIM2
FHOD1	Q9Y613	FHOD1_HUMAN	FH1/FH2 domain-containing protein 1 (Formin homolog overexpressed in spleen 1) (FHOS) (Formin homology 2 domain-containing protein 1)	FHOD1 FHOS FHOS1
FIBP	O43427	FIBP_HUMAN	Acidic fibroblast growth factor intracellular-binding protein (aFGF intracellular-binding protein) (FGF-1 intracellular-binding protein)	FIBP
FIG4	Q92562	FIG4_HUMAN	Polyphosphoinositide phosphatase (EC 3.1.3.-) (EC 3.1.3.36) (EC 3.1.3.86) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase) (SAC domain-containing protein 3) (Serine-protein phosphatase FIG4) (EC 3.1.3.16)	FIG4 KIAA0274 SAC3
FIGNL1	Q6PIW4	FIGL1_HUMAN	Fidgetin-like protein 1 (EC 3.6.4.-)	FIGNL1
FILIP1	Q7Z7B0	FLIP1_HUMAN	Filamin-A-interacting protein 1 (FILIP)	FILIP1 KIAA1275
FILIP1L	Q4L180	FIL1L_HUMAN	Filamin A-interacting protein 1-like (130 kDa GPBP-interacting protein) (90 kDa GPBP-interacting protein) (Protein down-regulated in ovarian cancer 1) (DOC-1)	FILIP1L COL4A3BPIP DOC1 GIP90
FIP1L1	Q6UN15	FIP1_HUMAN	Pre-mRNA 3'-end-processing factor FIP1 (hFip1) (FIP1-like 1 protein) (Factor interacting with PAP) (Rearranged in hypereosinophilia)	FIP1L1 FIP1 RHE
FIS1	Q9Y3D6	FIS1_HUMAN	Mitochondrial fission 1 protein (FIS1 homolog) (hFis1) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11)	FIS1 TTC11 CGI-135
FKBP14	Q9NWM8	FKB14_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP14 (PPIase FKBP14) (EC 5.2.1.8) (22 kDa FK506-binding protein) (22 kDa FKBP) (FKBP-22) (FK506-binding protein 14) (FKBP-14) (Rotamase)	FKBP14 FKBP22 UNQ322/PRO381
FKBP15	Q5T1M5	FKB15_HUMAN	FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP- and FKBP-like protein) (WAFL)	FKBP15 KIAA0674
FKBP1A	P62942	FKB1A_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase)	FKBP1A FKBP1 FKBP12
FKBP2	P26885	FKBP2_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase)	FKBP2 FKBP13
FKBP3	Q00688	FKBP3_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP3 (PPIase FKBP3) (EC 5.2.1.8) (25 kDa FK506-binding protein) (25 kDa FKBP) (FKBP-25) (FK506-binding protein 3) (FKBP-3) (Immunophilin FKBP25) (Rapamycin-selective 25 kDa immunophilin) (Rotamase)	FKBP3 FKBP25
FKBP4	Q02790	FKBP4_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]	FKBP4 FKBP52
FKBP5	Q13451	FKBP5_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5) (FKBP-5) (FKBP54) (p54) (HSP90-binding immunophilin) (Rotamase)	FKBP5 AIG6 FKBP51
FKBP7	Q9Y680	FKBP7_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP7 (PPIase FKBP7) (EC 5.2.1.8) (23 kDa FK506-binding protein) (23 kDa FKBP) (FKBP-23) (FK506-binding protein 7) (FKBP-7) (Rotamase)	FKBP7 FKBP23 UNQ670/PRO1304
FKBP8	Q14318	FKBP8_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)	FKBP8 FKBP38
FKBP9	O95302	FKBP9_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP9 (PPIase FKBP9) (EC 5.2.1.8) (63 kDa FK506-binding protein) (63 kDa FKBP) (FKBP-63) (FK506-binding protein 9) (FKBP-9) (Rotamase)	FKBP9 FKBP60 FKBP63
FKBP9	P68106	FKB1B_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP1B (PPIase FKBP1B) (EC 5.2.1.8) (12.6 kDa FK506-binding protein) (12.6 kDa FKBP) (FKBP-12.6) (FK506-binding protein 1B) (FKBP-1B) (Immunophilin FKBP12.6) (Rotamase) (h-FKBP-12)	FKBP1B FKBP12.6 FKBP1L FKBP9 OTK4
FKBPL	Q9UIM3	FKBPL_HUMAN	FK506-binding protein-like (WAF-1/CIP1 stabilizing protein 39) (WISp39)	FKBPL DIR1 NG7
FKRP	Q9H9S5	FKRP_HUMAN	Ribitol 5-phosphate transferase FKRP (EC 2.7.8.-) (Fukutin-related protein) (Ribitol-5-phosphate transferase)	FKRP
FLAD1	Q8NFF5	FAD1_HUMAN	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase) [Includes: Molybdenum cofactor biosynthesis protein-like region; FAD synthase region]	FLAD1 PP591
FLCN	Q8NFG4	FLCN_HUMAN	Folliculin (BHD skin lesion fibrofolliculoma protein) (Birt-Hogg-Dube syndrome protein)	FLCN BHD
FLI1	Q01543	FLI1_HUMAN	Friend leukemia integration 1 transcription factor (Proto-oncogene Fli-1) (Transcription factor ERGB)	FLI1
FLII	Q13045	FLII_HUMAN	Protein flightless-1 homolog	FLII FLIL
FLNA	P21333	FLNA_HUMAN	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	FLNA FLN FLN1
FLNB	O75369	FLNB_HUMAN	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	FLNB FLN1L FLN3 TABP TAP
FLNC	Q14315	FLNC_HUMAN	Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	FLNC ABPL FLN2
FLOT1	O75955	FLOT1_HUMAN	Flotillin-1	FLOT1
FLOT1	P41440	S19A1_HUMAN	Reduced folate transporter (FOLT) (Cyclic dinucleotide:anion antiporter SLC19A1) (Folate:anion antiporter SLC19A1) (Intestinal folate carrier 1) (IFC-1) (Placental folate transporter) (Reduced folate carrier protein) (RFC) (hRFC) (Reduced folate transporter 1) (RFT-1) (Solute carrier family 19 member 1) (hSLC19A1)	SLC19A1 FLOT1 RFC1
FLOT2	Q14254	FLOT2_HUMAN	Flotillin-2 (Epidermal surface antigen) (ESA) (Membrane component chromosome 17 surface marker 1)	FLOT2 ESA1 M17S1
FLT3	P36888	FLT3_HUMAN	Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)	FLT3 CD135 FLK2 STK1
FLVCR1	Q9Y5Y0	FLVC1_HUMAN	Heme transporter FLVCR1 (Feline leukemia virus subgroup C receptor-related protein 1) (Feline leukemia virus subgroup C receptor) (hFLVCR)	FLVCR1 FLVCR
FLYWCH1	Q4VC44	FWCH1_HUMAN	FLYWCH-type zinc finger-containing protein 1	FLYWCH1 KIAA1552
FLYWCH2	Q96CP2	FWCH2_HUMAN	FLYWCH family member 2	FLYWCH2
FMNL1	O95466	FMNL1_HUMAN	Formin-like protein 1 (CLL-associated antigen KW-13) (Leukocyte formin)	FMNL1 C17orf1 C17orf1B FMNL FRL1
FMR1	Q06787	FMR1_HUMAN	Fragile X messenger ribonucleoprotein 1 (Fragile X messenger ribonucleoprotein) (FMRP) (Protein FMR-1)	FMR1
FN1	P02751	FINC_HUMAN	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	FN1 FN
FN3K	Q9H479	FN3K_HUMAN	Fructosamine-3-kinase (EC 2.7.1.171) (Protein-psicosamine 3-kinase FN3K) (Protein-ribulosamine 3-kinase FN3K) (EC 2.7.1.172)	FN3K
FN3KRP	Q9HA64	KT3K_HUMAN	Ketosamine-3-kinase (EC 2.7.1.172) (Fructosamine-3-kinase-related protein) (FN3K-RP) (FN3K-related protein) (Protein-psicosamine 3-kinase FN3KRP) (EC 2.7.1.-)	FN3KRP
FNBP1	Q96RU3	FNBP1_HUMAN	Formin-binding protein 1 (Formin-binding protein 17) (hFBP17)	FNBP1 FBP17 KIAA0554
FNBP1L	Q5T0N5	FBP1L_HUMAN	Formin-binding protein 1-like (Transducer of Cdc42-dependent actin assembly protein 1) (Toca-1)	FNBP1L C1orf39 TOCA1
FNBP4	Q8N3X1	FNBP4_HUMAN	Formin-binding protein 4 (Formin-binding protein 30)	FNBP4 FBP30 KIAA1014
FNDC3A	Q9Y2H6	FND3A_HUMAN	Fibronectin type-III domain-containing protein 3A (Human gene expressed in odontoblasts)	FNDC3A FNDC3 HUGO KIAA0970
FNDC3B	Q53EP0	FND3B_HUMAN	Fibronectin type III domain-containing protein 3B (Factor for adipocyte differentiation 104) (HCV NS5A-binding protein 37)	FNDC3B FAD104 NS5ABP37 UNQ2421/PRO4979/PRO34274
FNIP1	Q8TF40	FNIP1_HUMAN	Folliculin-interacting protein 1	FNIP1 KIAA1961
FNTA	P49354	FNTA_HUMAN	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha)	FNTA
FNTB	P49356	FNTB_HUMAN	Protein farnesyltransferase subunit beta (FTase-beta) (EC 2.5.1.58) (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta)	FNTB
FOPNL	Q96NB1	CEP20_HUMAN	Centrosomal protein 20 (FGFR1OP N-terminal-like protein) (FOP-related protein of 20 kDa) (LisH domain-containing protein FOPNL)	CEP20 C16orf63 FOPNL FOR20 PHSECRG2
FOSL2	P15408	FOSL2_HUMAN	Fos-related antigen 2 (FRA-2)	FOSL2 FRA2
FOXJ3	Q9UPW0	FOXJ3_HUMAN	Forkhead box protein J3	FOXJ3 KIAA1041
FOXK1	P85037	FOXK1_HUMAN	Forkhead box protein K1 (Myocyte nuclear factor) (MNF)	FOXK1 MNF
FOXK2	Q01167	FOXK2_HUMAN	Forkhead box protein K2 (G/T-mismatch specific binding protein) (nGTBP) (Interleukin enhancer-binding factor 1)	FOXK2 ILF ILF1
FOXL2	P58012	FOXL2_HUMAN	Forkhead box protein L2	FOXL2
FOXP1	Q9H334	FOXP1_HUMAN	Forkhead box protein P1 (Mac-1-regulated forkhead) (MFH)	FOXP1 HSPC215
FOXRED1	Q96CU9	FXRD1_HUMAN	FAD-dependent oxidoreductase domain-containing protein 1 (EC 1.-.-.-)	FOXRED1 FP634
FPGS	Q05932	FOLC_HUMAN	Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase)	FPGS
FPGT	O14772	FPGT_HUMAN	Fucose-1-phosphate guanylyltransferase (EC 2.7.7.30) (GDP-L-fucose diphosphorylase) (GDP-L-fucose pyrophosphorylase)	FPGT GFPP
FRA10AC1	Q70Z53	F10C1_HUMAN	Protein FRA10AC1	FRA10AC1 C10orf4 PRO2972
FRG1	Q14331	FRG1_HUMAN	Protein FRG1 (FSHD region gene 1 protein)	FRG1
FRK	P42685	FRK_HUMAN	Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5)	FRK PTK5 RAK
FRMD8	Q9BZ67	FRMD8_HUMAN	FERM domain-containing protein 8 (Band4.1 inhibitor LRP interactor) (Bili) (iRhom tail-associated protein) (iTAP)	FRMD8 FKSG44
FRMPD3	Q5JV73	FRPD3_HUMAN	FERM and PDZ domain-containing protein 3	FRMPD3 KIAA1817
FRMPD4	Q14CM0	FRPD4_HUMAN	FERM and PDZ domain-containing protein 4 (PDZ domain-containing protein 10) (PSD-95-interacting regulator of spine morphogenesis) (Preso)	FRMPD4 KIAA0316 PDZD10 PDZK10
FRRS1	Q6ZNA5	FRRS1_HUMAN	Ferric-chelate reductase 1 (EC 1.-.-.-) (Stromal cell-derived receptor 2) (SDR-2)	FRRS1 SDFR2 SDR2
FRYL	O94915	FRYL_HUMAN	Protein furry homolog-like (ALL1-fused gene from chromosome 4p12 protein)	FRYL AF4P12 KIAA0826
FSCN1	Q16658	FSCN1_HUMAN	Fascin (55 kDa actin-bundling protein) (Singed-like protein) (p55)	FSCN1 FAN1 HSN SNL
FSIP2	Q5CZC0	FSIP2_HUMAN	Fibrous sheath-interacting protein 2	FSIP2
FTH1	P02794	FRIH_HUMAN	Ferritin heavy chain (Ferritin H subunit) (EC 1.16.3.1) (Cell proliferation-inducing gene 15 protein) [Cleaved into: Ferritin heavy chain, N-terminally processed]	FTH1 FTH FTHL6 OK/SW-cl.84 PIG15
FTL	P02792	FRIL_HUMAN	Ferritin light chain (Ferritin L subunit)	FTL
FTO	Q9C0B1	FTO_HUMAN	Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-)	FTO KIAA1752
